x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
15,87,14,"(15, 87, 14)",-2.4876,0.018036,-0.6015,1.0197,1.0477,False
35,85,22,"(35, 85, 22)",-2.4543,0.01805,-0.6263,1.0279,1.0468,False
47,12,16,"(47, 12, 16)",-2.4482,0.018053,-0.6405,1.0161,1.0316,False
53,23,2,"(53, 23, 2)",-2.454,0.018065,-0.6261,1.0329,1.0439,False
50,92,16,"(50, 92, 16)",-2.4686,0.018084,-0.6109,1.0255,1.0453,False
71,26,19,"(71, 26, 19)",-2.4596,0.0181,-0.618,1.017,1.0376,False
51,90,17,"(51, 90, 17)",-2.4539,0.018107,-0.6247,1.0315,1.0474,False
11,33,23,"(11, 33, 23)",-2.4534,0.018111,-0.6253,1.0114,1.0288,False
56,74,22,"(56, 74, 22)",2.5364,0.018124,0.8273,1.0455,1.0268,True
30,74,24,"(30, 74, 24)",-2.4516,0.018125,-0.6276,1.0189,1.0383,False
32,89,16,"(32, 89, 16)",-2.4593,0.018127,-0.6176,1.0292,1.0452,False
26,81,17,"(26, 81, 17)",-2.4552,0.018127,-0.6222,1.009,1.0338,False
20,22,14,"(20, 22, 14)",-2.4706,0.018165,-0.6079,0.9962,1.0212,False
61,63,10,"(61, 63, 10)",-2.4674,0.018168,-0.6099,1.0199,1.0436,False
18,61,9,"(18, 61, 9)",-2.4477,0.018175,-0.6328,1.032,1.0451,False
21,33,30,"(21, 33, 30)",-2.4473,0.018199,-0.6325,1.0431,1.0535,False
27,85,17,"(27, 85, 17)",-2.4531,0.018205,-0.6222,1.0216,1.0436,False
34,92,17,"(34, 92, 17)",-2.4736,0.018206,-0.6053,1.0234,1.0462,False
27,65,22,"(27, 65, 22)",2.4918,0.018207,0.7647,0.9569,0.9069,True
49,80,19,"(49, 80, 19)",-2.4575,0.018214,-0.617,0.9571,1.0098,False
17,67,23,"(17, 67, 23)",-2.4489,0.01822,-0.6281,1.0343,1.0472,False
5,61,10,"(5, 61, 10)",-2.4624,0.01825,-0.6117,1.0171,1.0447,False
12,55,14,"(12, 55, 14)",-2.4576,0.018262,-0.6155,1.0253,1.0424,False
44,16,17,"(44, 16, 17)",-2.4418,0.018272,-0.651,1.0073,1.0295,False
43,53,23,"(43, 53, 23)",-2.4698,0.018274,-0.6062,1.0425,1.0518,False
37,75,28,"(37, 75, 28)",-2.4905,0.018276,-0.5969,1.0314,1.0509,False
18,54,8,"(18, 54, 8)",-2.4626,0.018278,-0.6109,1.0213,1.0428,False
16,48,29,"(16, 48, 29)",-2.4768,0.01829,-0.6023,1.0392,1.0543,False
35,86,23,"(35, 86, 23)",-2.4639,0.018298,-0.6096,1.0202,1.0441,False
36,33,5,"(36, 33, 5)",-2.4468,0.018303,-0.628,1.012,1.0316,False
25,41,22,"(25, 41, 22)",2.4652,0.018306,0.7238,0.9185,0.8704,True
43,19,23,"(43, 19, 23)",2.4659,0.018334,0.726,1.0425,1.0304,True
51,26,8,"(51, 26, 8)",-2.4401,0.018348,-0.6542,1.0127,1.0321,False
42,49,16,"(42, 49, 16)",-2.45,0.018354,-0.6211,0.9975,1.0182,False
16,12,16,"(16, 12, 16)",2.4864,0.018361,0.7609,1.0455,1.0331,True
21,85,12,"(21, 85, 12)",-2.4886,0.018371,-0.5963,1.014,1.0491,False
37,32,15,"(37, 32, 15)",-2.4423,0.018373,-0.6342,1.0264,1.041,False
45,37,22,"(45, 37, 22)",-2.4452,0.01838,-0.6273,1.028,1.0429,False
52,27,14,"(52, 27, 14)",-2.4395,0.018381,-0.6468,1.0236,1.0343,False
45,62,23,"(45, 62, 23)",-2.446,0.018382,-0.6258,1.0394,1.0486,False
58,41,9,"(58, 41, 9)",2.5319,0.018395,0.8282,1.0476,0.9832,True
35,35,24,"(35, 35, 24)",-2.4405,0.018399,-0.6381,1.0152,1.031,False
17,55,25,"(17, 55, 25)",-2.4771,0.018437,-0.5998,1.022,1.0452,False
40,36,11,"(40, 36, 11)",2.4784,0.018447,0.7508,0.9204,0.8319,True
62,15,11,"(62, 15, 11)",-2.4736,0.018478,-0.6007,1.033,1.0527,False
38,94,19,"(38, 94, 19)",-2.4506,0.018487,-0.6161,1.0107,1.0323,False
12,42,18,"(12, 42, 18)",-2.4577,0.018497,-0.6097,1.0368,1.0478,False
12,44,19,"(12, 44, 19)",-2.4598,0.018508,-0.6079,1.0244,1.0405,False
25,36,8,"(25, 36, 8)",-2.4392,0.018529,-0.6325,1.0129,1.0292,False
50,37,14,"(50, 37, 14)",-2.4473,0.01854,-0.6182,1.0095,1.0291,False
33,67,22,"(33, 67, 22)",-2.442,0.018543,-0.6256,1.0428,1.0514,False
37,54,18,"(37, 54, 18)",-2.4515,0.018559,-0.6133,1.0528,1.0603,False
30,46,31,"(30, 46, 31)",-2.4518,0.01856,-0.613,1.0166,1.0394,False
9,23,15,"(9, 23, 15)",-2.4439,0.018563,-0.6218,1.0227,1.0382,False
47,26,21,"(47, 26, 21)",-2.4504,0.018574,-0.614,1.0269,1.0413,False
23,39,22,"(23, 39, 22)",-2.435,0.018581,-0.6491,0.9295,0.9755,False
39,80,22,"(39, 80, 22)",-2.4386,0.018582,-0.6307,1.0148,1.0343,False
41,75,21,"(41, 75, 21)",-2.4431,0.018583,-0.6222,1.0081,1.0296,False
27,49,22,"(27, 49, 22)",2.4546,0.018584,0.7138,0.9438,0.9067,True
