x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
26,52,17,"(26, 52, 17)",2.5246,0.015274,0.7149,0.1954,0.0235,True
14,52,12,"(14, 52, 12)",2.5166,0.015277,0.6543,0.0854,-0.0597,True
16,23,10,"(16, 23, 10)",-2.5349,0.01528,-0.7367,-0.0028,0.1711,False
14,40,12,"(14, 40, 12)",-2.5146,0.015281,-0.6823,-0.0669,0.0874,False
55,35,1,"(55, 35, 1)",2.5494,0.015304,0.7625,0.1632,0.0078,True
53,10,24,"(53, 10, 24)",-2.513,0.015312,-0.6735,-0.0369,0.118,False
16,30,28,"(16, 30, 28)",2.5355,0.015316,0.7393,0.1143,-0.0605,True
75,54,19,"(75, 54, 19)",-2.5197,0.015337,-0.7065,0.0073,0.1657,False
8,67,8,"(8, 67, 8)",-2.5224,0.015349,-0.714,0.0403,0.2089,False
49,76,18,"(49, 76, 18)",-2.5205,0.01537,-0.7104,0.0282,0.138,False
75,60,15,"(75, 60, 15)",-2.5256,0.015378,-0.7226,0.0895,0.2996,False
59,26,6,"(59, 26, 6)",2.5183,0.015378,0.7054,0.1599,0.0114,True
53,40,32,"(53, 40, 32)",-2.5348,0.015391,-0.741,0.0168,0.1771,False
68,19,20,"(68, 19, 20)",-2.5109,0.015399,-0.6762,0.0674,0.2018,False
46,85,17,"(46, 85, 17)",2.513,0.015399,0.6548,0.2623,0.0903,True
37,36,22,"(37, 36, 22)",2.5146,0.015405,0.696,0.2381,0.0763,True
58,38,24,"(58, 38, 24)",-2.525,0.015406,-0.7227,0.0036,0.167,False
25,63,27,"(25, 63, 27)",2.5114,0.015406,0.6818,0.1161,-0.0695,True
37,53,24,"(37, 53, 24)",-2.5166,0.015409,-0.7025,0.0263,0.2094,False
56,11,14,"(56, 11, 14)",-2.5107,0.015419,-0.6793,0.0247,0.1457,False
52,44,12,"(52, 44, 12)",2.542,0.01542,0.7545,0.134,-0.0515,True
30,48,14,"(30, 48, 14)",-2.5222,0.01542,-0.7173,-0.0321,0.1465,False
36,48,10,"(36, 48, 10)",2.5165,0.015422,0.7031,0.1781,0.0007,True
53,81,11,"(53, 81, 11)",-2.5138,0.015424,-0.6948,0.0801,0.2533,False
26,3,13,"(26, 3, 13)",-2.5145,0.015436,-0.698,-0.0318,0.1019,False
2,43,15,"(2, 43, 15)",-2.5427,0.01544,-0.7566,-0.0076,0.2154,False
50,7,17,"(50, 7, 17)",-2.5107,0.015444,-0.6837,-0.0224,0.1727,False
8,69,23,"(8, 69, 23)",-2.5097,0.015448,-0.6768,-0.003,0.1589,False
61,33,24,"(61, 33, 24)",2.5498,0.015452,0.7684,0.1367,-0.0507,True
60,66,3,"(60, 66, 3)",-2.523,0.015461,-0.7211,0.0565,0.1902,False
42,55,17,"(42, 55, 17)",2.5295,0.015462,0.7342,0.2111,0.0356,True
55,71,12,"(55, 71, 12)",-2.536,0.015471,-0.7462,0.0255,0.2007,False
32,40,33,"(32, 40, 33)",-2.5102,0.015474,-0.6846,0.0415,0.2015,False
19,29,19,"(19, 29, 19)",-2.5298,0.015475,-0.7353,0.0111,0.1591,False
27,83,12,"(27, 83, 12)",-2.5155,0.015488,-0.7046,0.0615,0.2151,False
57,73,18,"(57, 73, 18)",-2.5082,0.015499,-0.6662,-0.0128,0.1217,False
