x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
33,44,23,"(33, 44, 23)",2.2023,0.032379,0.5879,1.0658,0.9831,True
45,14,11,"(45, 14, 11)",2.2041,0.032381,0.6057,1.0468,0.9584,True
55,36,22,"(55, 36, 22)",2.2084,0.03239,0.6221,1.0298,0.9545,True
27,52,10,"(27, 52, 10)",-2.2156,0.032423,-0.6418,0.9528,1.0258,False
50,69,20,"(50, 69, 20)",2.2024,0.032441,0.6002,1.0682,1.0016,True
58,56,14,"(58, 56, 14)",2.2038,0.032443,0.608,1.0204,0.9598,True
19,47,24,"(19, 47, 24)",2.2027,0.032447,0.6027,1.0833,0.9962,True
15,15,22,"(15, 15, 22)",-2.2013,0.032512,-0.5987,1.0202,1.1111,False
21,41,19,"(21, 41, 19)",2.2056,0.032524,0.6185,1.0723,0.9852,True
43,21,25,"(43, 21, 25)",2.2147,0.032536,0.6429,1.101,0.9963,True
52,28,13,"(52, 28, 13)",2.2022,0.032537,0.6059,1.0975,1.0174,True
44,20,17,"(44, 20, 17)",2.2034,0.032552,0.6119,1.0685,0.9872,True
40,78,20,"(40, 78, 20)",-2.2,0.032552,-0.5872,0.9996,1.0888,False
27,38,6,"(27, 38, 6)",2.2222,0.03256,0.6593,1.0389,0.9688,True
45,38,2,"(45, 38, 2)",2.1998,0.032584,0.5933,1.0033,0.9052,True
8,44,22,"(8, 44, 22)",2.2111,0.032586,0.6357,1.0741,0.9924,True
23,41,30,"(23, 41, 30)",2.2045,0.032617,0.6185,1.0176,0.9306,True
25,23,21,"(25, 23, 21)",-2.2003,0.032618,-0.6013,1.0196,1.087,False
22,85,20,"(22, 85, 20)",2.2051,0.032623,0.6206,1.0822,0.9967,True
18,27,12,"(18, 27, 12)",-2.1991,0.032632,-0.5826,0.9737,1.0321,False
14,23,15,"(14, 23, 15)",2.1997,0.032638,0.5985,1.1072,1.0195,True
33,52,23,"(33, 52, 23)",2.2181,0.032664,0.6534,1.0382,0.9492,True
19,58,25,"(19, 58, 25)",-2.1986,0.032671,-0.5925,0.9891,1.0711,False
23,18,23,"(23, 18, 23)",-2.1983,0.032691,-0.5839,1.0678,1.1548,False
41,49,24,"(41, 49, 24)",2.2029,0.0327,0.6166,1.0725,1.0007,True
68,35,22,"(68, 35, 22)",2.1999,0.032701,0.6048,1.1611,1.0703,True
27,46,11,"(27, 46, 11)",2.1997,0.032707,0.6038,1.0273,0.9451,True
17,19,10,"(17, 19, 10)",2.2008,0.032733,0.6103,1.051,0.9505,True
47,77,23,"(47, 77, 23)",2.1975,0.032739,0.5875,1.0096,0.9463,True
54,45,26,"(54, 45, 26)",-2.2029,0.032751,-0.6187,0.9684,1.0377,False
68,36,19,"(68, 36, 19)",-2.2026,0.032774,-0.6186,1.0089,1.0982,False
40,26,8,"(40, 26, 8)",-2.1996,0.032776,-0.6076,0.9383,1.0146,False
17,31,17,"(17, 31, 17)",2.2083,0.032781,0.6346,1.0055,0.9276,True
32,21,21,"(32, 21, 21)",-2.2054,0.032783,-0.627,1.0705,1.1565,False
19,67,26,"(19, 67, 26)",-2.203,0.032786,-0.6203,0.973,1.0575,False
43,11,9,"(43, 11, 9)",-2.1973,0.03279,-0.5953,0.9392,1.0217,False
51,32,11,"(51, 32, 11)",-2.1972,0.032814,-0.5971,0.9482,1.0282,False
14,64,13,"(14, 64, 13)",2.1987,0.032849,0.6078,1.0435,0.959,True
13,19,17,"(13, 19, 17)",2.1989,0.032866,0.6094,1.0864,1.0077,True
20,30,15,"(20, 30, 15)",2.1972,0.032878,0.602,1.03,0.9624,True
49,67,29,"(49, 67, 29)",-2.2099,0.032885,-0.6412,0.9658,1.0486,False
16,60,25,"(16, 60, 25)",-2.2039,0.032911,-0.6271,1.0338,1.128,False
54,27,21,"(54, 27, 21)",2.2211,0.032927,0.6654,1.0146,0.9437,True
52,66,21,"(52, 66, 21)",2.2132,0.032931,0.6497,1.0365,0.9671,True
72,34,24,"(72, 34, 24)",-2.197,0.032944,-0.6051,1.0348,1.1264,False
6,33,16,"(6, 33, 16)",-2.2178,0.032951,-0.6596,1.0144,1.1025,False
29,64,23,"(29, 64, 23)",2.2017,0.032954,0.6223,1.0101,0.9438,True
54,38,17,"(54, 38, 17)",2.2045,0.032955,0.6301,1.0649,0.9787,True
52,42,31,"(52, 42, 31)",2.1952,0.032972,0.5766,0.9986,0.9187,True
20,60,22,"(20, 60, 22)",-2.2136,0.032994,-0.6521,1.0247,1.1158,False
38,39,23,"(38, 39, 23)",2.1946,0.033001,0.5947,1.147,1.0586,True
35,66,25,"(35, 66, 25)",-2.2054,0.033021,-0.6344,0.9647,1.0563,False
54,46,24,"(54, 46, 24)",2.1937,0.033035,0.5901,1.0468,0.9672,True
52,48,15,"(52, 48, 15)",2.1979,0.033048,0.6139,0.9921,0.9154,True
15,57,23,"(15, 57, 23)",-2.195,0.033052,-0.602,1.0518,1.1354,False
26,74,22,"(26, 74, 22)",-2.1997,0.033066,-0.6203,0.9657,1.0444,False
52,68,16,"(52, 68, 16)",2.1978,0.033078,0.6146,1.0145,0.9561,True
21,72,17,"(21, 72, 17)",-2.1929,0.033093,-0.5852,0.9754,1.0546,False
59,22,14,"(59, 22, 14)",2.2033,0.033093,0.6313,1.0223,0.952,True
48,58,19,"(48, 58, 19)",2.1962,0.033113,0.6107,0.9965,0.929,True
36,33,19,"(36, 33, 19)",2.1936,0.033151,0.601,1.0568,0.99,True
27,62,29,"(27, 62, 29)",-2.2059,0.033173,-0.6397,0.9769,1.0514,False
39,6,14,"(39, 6, 14)",2.2065,0.033175,0.6412,1.0769,0.9819,True
34,63,25,"(34, 63, 25)",2.2044,0.033209,0.6372,1.0314,0.9485,True
55,41,18,"(55, 41, 18)",2.1944,0.033223,0.6089,0.99,0.9314,True
